run sub evt reco_e n_tracks_contained n_showers_contained shr_theta_v
13800 35 1757 1.5825114 2 2 0.35365814
13800 9 463 1.6519952 4 1 0.43493664
13872 3 199 2.1687222 3 6 0.8902068
13899 6 335 3.361946 1 3 0.23287058
13913 210 10518 1.2317429 2 1 0.7582927
14031 14 728 1.2573855 2 2 0.38962647
14543 234 11750 1.7854859 2 1 0.46091235
14779 3 172 2.5598254 1 4 0.18414195
14828 167 8359 1.3682187 0 1 1.1844678
14909 133 6687 1.0551826 1 2 0.3685108
15330 12 623 1.1543143 2 1 0.78127766
16058 128 6441 1.4579382 1 1 0.34634352
16060 2 142 2.6929736 2 2 0.2875452
16063 75 3773 1.894134 2 2 0.38033885
16267 4 234 2.067971 1 4 0.6816598
16267 136 6821 2.7552109 2 2 0.38655424
16551 162 8112 1.6815083 1 2 0.4204336
16697 18 943 2.811932 0 2 0.1878517
17095 132 6644 2.8028984 1 2 1.3641621
17174 20 1040 1.5154551 1 2 0.39977437
17239 244 12223 2.9329224 0 1 0.8676602
run sub evt reco_e n_tracks_contained n_showers_contained shr_theta_v
13800 35 1757 1.5825114 2 2 0.35365814
13800 9 463 1.6519952 4 1 0.43493664
13872 3 199 2.1687222 3 6 0.8902068
13899 6 335 3.361946 1 3 0.23287058
13913 210 10518 1.2317429 2 1 0.7582927
14031 14 728 1.2573855 2 2 0.38962647
14543 234 11750 1.7854859 2 1 0.46091235
14779 3 172 2.5598254 1 4 0.18414195
14828 167 8359 1.3682187 0 1 1.1844678
14909 133 6687 1.0551826 1 2 0.3685108
15330 12 623 1.1543143 2 1 0.78127766
16058 128 6441 1.4579382 1 1 0.34634352
16060 2 142 2.6929736 2 2 0.2875452
16063 75 3773 1.894134 2 2 0.38033885
16267 4 234 2.067971 1 4 0.6816598
16267 136 6821 2.7552109 2 2 0.38655424
16551 162 8112 1.6815083 1 2 0.4204336
16697 18 943 2.811932 0 2 0.1878517
17095 132 6644 2.8028984 1 2 1.3641621
17174 20 1040 1.5154551 1 2 0.39977437
17239 244 12223 2.9329224 0 1 0.8676602
run sub evt reco_e n_tracks_contained n_showers_contained shr_theta_v
13800 35 1757 1.5825114 2 2 0.35365814
13800 9 463 1.6519952 4 1 0.43493664
13872 3 199 2.1687222 3 6 0.8902068
13899 6 335 3.361946 1 3 0.23287058
13913 210 10518 1.2317429 2 1 0.7582927
14031 14 728 1.2573855 2 2 0.38962647
14543 234 11750 1.7854859 2 1 0.46091235
14779 3 172 2.5598254 1 4 0.18414195
14828 167 8359 1.3682187 0 1 1.1844678
14909 133 6687 1.0551826 1 2 0.3685108
15330 12 623 1.1543143 2 1 0.78127766
16058 128 6441 1.4579382 1 1 0.34634352
16060 2 142 2.6929736 2 2 0.2875452
16063 75 3773 1.894134 2 2 0.38033885
16267 4 234 2.067971 1 4 0.6816598
16267 136 6821 2.7552109 2 2 0.38655424
16551 162 8112 1.6815083 1 2 0.4204336
16697 18 943 2.811932 0 2 0.1878517
17095 132 6644 2.8028984 1 2 1.3641621
17174 20 1040 1.5154551 1 2 0.39977437
17239 244 12223 2.9329224 0 1 0.8676602
