shr_energy_y_v,shr_theta_v,plot_weight
962.97577,0.16890356,1
1138.1323,1.142206,1
2351.0178,0.26437214,1
965.7604,0.65288246,1
902.0646,0.9994925,1
1307.4032,0.94330984,1
1426.8818,0.20584266,1
1146.8771,0.24018316,1
2004.9261,0.16546111,1
2792.3853,0.27928883,1
2158.8562,0.30141562,1
707.98114,0.5903673,1
1029.1099,0.34478253,1
986.95166,0.8263893,1
1094.5471,0.43631315,1
895.1804,0.77628297,1
1301.3914,0.6507696,1
1513.7893,0.4211016,1
1513.7893,0.4211016,1
3576.859,0.28263,1
1026.4019,0.24385244,1
866.03265,0.572834,1
1217.8141,0.50393176,1
1216.8708,0.39018366,1
828.8023,0.7972873,1
1541.1656,0.15646721,1
1541.1656,0.15646721,1
857.19666,0.7396512,1
786.04144,0.30070454,1
897.4767,0.2516921,1
808.81256,0.41517258,1
573.9828,1.5076264,1
1288.3158,0.53116626,1
2030.6742,0.39736038,1
752.21545,0.5403656,1
1363.8264,0.41244286,1
2115.1382,0.15258235,1
950.5801,0.5132179,1
1564.013,0.40077645,1
1076.8167,0.34369886,1
1172.5435,0.40782142,1
934.538,0.4646276,1
996.20465,0.42026216,1
1297.2527,0.48742092,1
1793.3892,0.36144593,1
1242.9279,0.24502529,1
504.49838,0.81434566,1
1102.952,0.59253365,1
1997.242,0.14687395,1
628.04083,0.62930423,1
1158.7037,0.2066641,1
801.8878,0.07632837,1
1503.6733,0.57127964,1
1315.3187,0.34096968,1
381.76547,0.6015696,1
561.2291,0.3333777,1
891.02563,0.6877166,1
1076.5033,0.3321342,1
522.3642,1.2643983,1
1700.7557,0.46959725,1
1817.8276,0.12911536,1
1348.338,0.28250906,1
2941.057,0.1637563,1
650.64087,0.40528935,1
1691.3298,0.35060143,1
183.80571,1.912586,1
678.6122,0.38245076,1
550.1069,0.6360833,1
1550.5659,0.16634233,1
730.9979,1.6516879,1
1231.7797,0.2313318,1
650.91016,1.1236993,1
1562.243,0.44421527,1
844.7899,0.46553633,1
1262.3977,0.67923665,1
1962.5343,0.19712542,1
934.96185,0.44445935,1
507.99503,0.7657923,1
1012.42017,0.54552794,1
1367.3842,0.18283431,1
1013.76117,0.18341409,1
824.3507,0.80895317,1
709.2517,1.3963091,1
614.8278,1.1059408,1
864.6615,0.26080665,1
764.375,0.81761533,1
1422.2899,0.30556557,1
685.1028,0.4141328,1
2058.5635,0.2704861,1
829.00775,0.70379335,1
986.1266,1.071854,1
1258.6007,1.1844678,1
974.1947,0.9495721,1
987.3278,0.6222283,1
2774.3462,0.8676602,1
1192.9553,0.35365814,1
759.2427,0.8902068,1
3207.6892,0.23287058,1
961.1588,1.2635499,1
849.0346,0.38962647,1
742.0856,0.95161325,1
1993.4674,0.18414195,1
1194.9341,0.36065498,1
950.402,0.3685108,1
750.2577,0.7169789,1
2183.5496,0.2875452,1
1686.85,0.38033885,1
1758.849,0.38655424,1
1005.7312,0.6816598,1
1498.2106,0.4204336,1
2382.933,0.1878517,1
1348.0537,1.3641621,1
1446.5978,0.39977437,1
1481.8636,0.5350991,1
1158.9423,0.35641214,1
1243.7778,0.39680335,1
1243.7778,0.39680335,1
1089.608,0.46091235,1
995.36237,0.78127766,1
907.6911,0.35810828,1
1265.4506,0.34634352,1
707.37384,0.662799,1
705.25995,1.0725172,1
928.3097,0.43493664,1
868.31464,0.7582927,1
766.66364,0.7048202,1
1017.96716,0.54823726,1
